Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2021:Q2,Bottom50,3069108,8413468,4265705,1620567,257051,321229,631425,181178,1136312,5344360,2527368,2411237,405755
2021:Q3,TopPt1,17684057,17818349,1344013,398128,9070341,26176,164179,4446798,2368714,134292,58792,18794,56706
2021:Q3,RemainingTop1,26300998,26958084,3767554,461001,12761714,408662,939309,3792373,4827470,657085,501229,44528,111328
2021:Q3,Next9,51651818,55197624,11290156,1470778,14262855,8706702,6112476,4585302,8769356,3545806,2910319,290559,344928
2021:Q3,Next40,38418145,45670276,15670534,2856744,4250722,8438002,5277320,1891631,7285323,7252132,5420166,1528870,303096
2021:Q3,Bottom50,3528746,8996589,4748369,1698506,258779,322384,629891,185145,1153514,5467843,2608556,2454647,404640
2021:Q4,TopPt1,18421104,18556717,1385366,397345,9528270,25485,174386,4671245,2374620,135613,59856,18562,57195
2021:Q4,RemainingTop1,27279802,27935850,3847349,491562,13374879,409131,974915,3966714,4871300,656047,509439,42537,104071
2021:Q4,Next9,53235681,56843202,11722926,1521654,14898231,8791203,6294477,4752453,8862258,3607521,2965102,297925,344494
2021:Q4,Next40,39416357,46845512,16134485,2938938,4415789,8517480,5508550,1952717,7377553,7429155,5522662,1568938,337555
2021:Q4,Bottom50,3795108,9413311,5023229,1772117,272331,324561,657286,188010,1175777,5618203,2694056,2502862,421285
2022:Q1,TopPt1,18238599,18375027,1433771,416251,8954460,26007,162617,4861127,2520794,136429,59553,18895,57981
2022:Q1,RemainingTop1,27022281,27687181,3993065,494318,12614015,411787,936100,4256001,4981895,664900,514664,46674,103562
2022:Q1,Next9,52924547,56536802,12254314,1554146,14118835,8811405,6031316,4610647,9156139,3612255,2964354,300306,347595
2022:Q1,Next40,39879957,47400429,16781352,3056750,4216654,8538238,5223720,2043990,7539725,7520472,5593959,1576845,349668
2022:Q1,Bottom50,3981959,9685349,5275572,1842591,255237,325774,627487,170600,1188088,5703389,2755148,2519859,428382
2022:Q2,TopPt1,16975252,17113673,1503701,423071,7298222,26671,137215,5156211,2568582,138421,61023,18600,58798
2022:Q2,RemainingTop1,24865720,25535363,3862654,474510,10407712,413758,848686,4546713,4981330,669643,522579,42782,104282
2022:Q2,Next9,50716415,54375971,12887402,1573718,11823281,8797915,5502327,4585346,9205982,3659556,3033586,309387,316583
2022:Q2,Next40,38796429,46481868,16929774,3149666,3604184,8526963,4621970,2112630,7536681,7685439,5690913,1629200,365326
2022:Q2,Bottom50,4472537,10317802,6010393,1872664,206074,325984,560849,152658,1189181,5845265,2837261,2583639,424365
2022:Q3,TopPt1,16930372,17070565,1525754,426854,6888194,25896,129079,5357266,2717523,140194,62434,18805,58955
2022:Q3,RemainingTop1,24451684,25124292,3904852,475270,9866645,412908,819588,4561419,5083611,672608,528721,41767,102120
2022:Q3,Next9,50648939,54376422,13114095,1599501,11238074,8854176,5300295,4798968,9471313,3727483,3097223,315846,314414
2022:Q3,Next40,38782014,46590242,17193797,3223772,3424366,8579077,4416304,2078085,7674841,7808228,5764964,1667731,375533
2022:Q3,Bottom50,4523760,10492442,6170506,1913876,193854,327116,539194,151058,1196838,5968682,2900609,2640301,427772
